공원명,공원 시명,공원 구명,공원 도로명 주소,일반이용자(아침),일반이용자(낮),일반이용자(저녁),자전거,현황 일시
잠원 한강공원,서울,강남구,강남대로 708,27250,45260,36830,90216,2023-09-30 0:00
반포 한강공원,서울,서초구,신반포로11길 40,16150,117030,521470,212550,2023-09-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,6979,53706,73890,114954,2023-09-30 0:00
여의도 한강공원,서울,영등포구,여의동로 280,9470,57520,181170,62475,2023-09-30 0:00
양화 한강공원,서울,영등포구,노들로 221,0,66262,91295,102351,2023-09-30 0:00
난지 한강공원,서울,마포구,한강난지로 22,8447,19281,31562,65928,2023-09-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,9895,14630,50317,52955,2023-09-30 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,7965,21420,9145,240790,2023-09-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,8730,45800,40720,59788,2023-09-30 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,9050,161250,214420,138880,2023-08-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,16624,16624,16625,55090,2023-08-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,21360,51140,91870,230166,2023-08-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,9270,81930,73790,95290,2023-08-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,7760,44470,40112,46934,2023-08-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,9595,31696,8892,236487,2023-08-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,12590,87900,244200,190198,2023-08-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,78660,84849,67955,2023-08-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,8875,10002,43540,45998,2023-08-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,42219,42219,42219,58705,2023-08-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,8030,27180,99720,11240,2023-08-31 0:00
난지 한강공원,서울,마포구,한강난지로 22,10702,24353,23468,38692,2023-07-31 0:00
망원 한강공원,서울,마포구,마포나루길 467,12123,15303,31383,41384,2023-07-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,8752,22140,9876,164915,2023-07-31 0:00
여의도 한강공원,서울,영등포구,여의동로 280,5530,61230,80421,32290,2023-07-31 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,5578,42215,40781,75099,2023-07-31 0:00
반포 한강공원,서울,서초구,신반포로11길 40,17750,53490,229550,247546,2023-07-31 0:00
잠실 한강공원,서울,송파구,한가람로 65,21130,43640,93940,162355,2023-07-31 0:00
뚝섬 한강공원,서울,광진구,강변북로 2273,5550,93760,136860,88373,2023-07-31 0:00
잠원 한강공원,서울,강남구,강남대로 708,28273,28273,28273,55448,2023-07-31 0:00
양화 한강공원,서울,영등포구,노들로 221,0,91499,96291,55071,2023-07-31 0:00
광나루 한강공원,서울,강동구,선사로 83-106,6590,36211,37090,38335,2023-07-31 0:00
강서 한강공원,서울,강서구,양천로27길 279-23,9430,26325,11624,299754,2023-06-30 0:00
잠원 한강공원,서울,강남구,강남대로 708,42815,84156,45515,59467,2023-06-30 0:00
광나루 한강공원,서울,강동구,선사로 83-106,6520,58990,41090,65060,2023-06-30 0:00
잠실 한강공원,서울,송파구,한가람로 65,23100,53300,80450,275270,2023-06-30 0:00
이촌 한강공원,서울,용산구,이촌로72길 62,9157,81451,110576,109495,2023-06-30 0:00
망원 한강공원,서울,마포구,마포나루길 467,17090,30395,55020,70369,2023-06-30 0:00
